"","Latitude","Longitude","BSR","1kmForestCover","5kmForestCover","10kmForestCover","MeanAge","PropAge","MeanTemperature","TemperatureSeasonality","AnnualPrecipitation","PrecipitationSeasonality","Elevation","Slope"
"469",-20.766666,-42.876388,"Bahia interior forests",26.9331537458069,22.1074509811637,20.0838564221657,46.3445475638051,0.08237,19.5583343505859,242.551162719727,1279,77.9818267822266,666,0.93
"473",-20.756388,-42.860277,"Bahia interior forests",46.8618081287728,17.3657104317274,20.1303688510718,46.015562248996,0.09187,19.3583335876465,241.358215332031,1290,77.2660903930664,641,0.27
"475",-20.783888,-42.919722,"Bahia interior forests",35.0286827111599,24.9661565756169,21.0266246146766,39.0483870967742,0.24309,19.2458324432373,238.950897216797,1300,77.5586318969727,805,1.53
"476",-20.8325,-42.933611,"Bahia interior forests",33.2493661072852,18.5080429795042,20.3060609752808,47.1895161290323,0.06183,19.3708324432373,237.615615844727,1301,78.1368789672852,798,1.01
"479",-20.793055,-42.889444,"Bahia interior forests",34.9279104906282,23.8855444041412,19.5737451990875,46.1600331674959,0.08458,19.3875007629395,240.644271850586,1282,77.7752838134766,713,1.49
"480",-20.750833,-42.931388,"Bahia interior forests",41.5615505440224,22.5348147076422,22.5403005807889,44.9083034647551,0.1138,19.6333332061768,239.946319580078,1282,77.7511520385742,722,2.51
"481",-20.802222,-42.858333,"Bahia interior forests",70.077822423217,22.3772318277867,18.3374482662839,46.0726652675761,0.08814,19.1124992370605,239.080856323242,1299,76.8225860595703,765,3.08
"894",-22.4,-49.7,"Alto Parana Atlantic forest",99.6901290967086,49.5346853389827,23.0682904385069,47.0570330969267,0.06944,20.4833335876465,258.899200439453,1274,60.5765762329102,610,0.08
"95",-23.702222,-47.081111,"Serra do Mar coastal forests",58.8143652512924,37.6623251153012,36.7810612897972,47.580348499516,0.0577,17.033332824707,242.668243408203,1533,56.3230972290039,914,0
"96",-23.725555,-47.063055,"Serra do Mar coastal forests",36.3037547150795,42.5417386977821,48.4155905556602,47.3969404186795,0.06119,16.8583335876465,240.943542480469,1576,55.5518035888672,914,0
"97",-23.712777,-47.094166,"Serra do Mar coastal forests",52.4817775086556,38.2242139820318,36.7750904841884,46.5180019461563,0.08401,17.095832824707,243.324111938477,1534,56.3311233520508,914,0
"98",-23.7375,-47.072777,"Serra do Mar coastal forests",69.9373559077423,43.2092410455813,50.7713705406553,43.5397747911369,0.15038,16.7000007629395,242.945938110352,1591,55.379997253418,914,0
"99",-23.715,-47.113333,"Serra do Mar coastal forests",28.4865927534058,36.1035763651629,36.8848624012383,47.7935483870968,0.05161,17.0541667938232,243.939788818359,1531,56.3847236633301,914,0
"Bovo_80",-22.21661389,-47.5974,"Alto Parana Atlantic forest",10.8647676854236,12.0161983790678,17.6470564446887,42.8669201520913,0.18631,20.7708339691162,238.484390258789,1312,74.3748168945312,639,1.77
"Bovo_82",-22.21651111,-47.60605556,"Alto Parana Atlantic forest",3.12451326244548,11.6147488365386,18.6601738023772,48.7916666666667,0,20.8208332061768,239.482940673828,1312,74.743408203125,628,1.57
"Bovo_84",-22.29241944,-47.61058056,"Alto Parana Atlantic forest",15.9951752402,9.86063217777157,10.5261440600239,45.3923705722071,0.11717,20.2916660308838,242.504287719727,1311,73.2549133300781,614,0.14
"Bovo_86",-22.34516667,-47.58026389,"Alto Parana Atlantic forest",14.6261860789579,6.83094623997157,11.9937895407624,41.8433179723502,0.13825,20.5541667938232,249.439910888672,1279,73.4773864746094,602,0.49
"Bovo_88",-22.48037778,-47.70401111,"Alto Parana Atlantic forest",21.5359217315126,8.51486138294517,10.4405269845702,44.6182298546896,0.10304,20.3916664123535,251.575347900391,1321,73.1622848510742,610,0
"Bovo_90",-22.50809167,-47.69487222,"Alto Parana Atlantic forest",12.8707302556517,10.7004022038887,10.3277480361576,30.4333333333333,0.375,20.4541664123535,253.345443725586,1312,72.6519470214844,609,0.21
"Bovo_92",-22.56885833,-47.68422222,"Alto Parana Atlantic forest",4.66373363160804,13.8667228066829,9.53732289128289,45.95,0.08,20.841667175293,253.321853637695,1275,72.0515899658203,541,0.55
"Bovo_94",-22.57508333,-47.672025,"Alto Parana Atlantic forest",36.9294454353953,14.915367667723,9.3353039142577,43.5901509134234,0.13264,20.8041667938232,251.580978393555,1267,71.8027877807617,568,1.62
"e00001",-21.929501,-44.577407,"Campos Rupestres montane savanna",62.0797076598689,27.3863351501967,19.5311714749919,43.5778876722006,0.15931,18.6749992370605,240.685577392578,1543,78.4709777832031,1126,0.43
"e00002",-22.158549,-44.384092,"Campos Rupestres montane savanna",33.0567365918953,30.0303166202999,44.601477880991,47.6077684691546,0.06245,17.3624992370605,239.014297485352,1576,76.0695419311523,1244,1.34
"e00003",-22.679843,-46.115387,"Alto Parana Atlantic forest",30.7425606056495,15.628345411829,17.7501218505502,46.8866348448687,0.06444,17.158332824707,253.832733154297,1611,67.3393859863281,1203,1.57
"e00004",-21.993671,-44.960001,"Alto Parana Atlantic forest",47.3958240250881,14.9921605730619,15.5960026198511,49.3522561863173,0.01601,19.0458335876465,265.351043701172,1537,77.8216934204102,932,0.39
"e00005",-22.534965,-45.256093,"Serra do Mar coastal forests",84.1700175786467,60.1726591588595,65.4526207805922,45.3291086438717,0.10315,15.8999996185303,281.166412353516,1643,70.9803161621094,1500,1.06
"e00007",-21.324703,-46.670307,"Alto Parana Atlantic forest",69.0904887392881,25.8582955171388,18.199958359296,46.530517470146,0.04732,19.5375003814697,226.104614257812,1488,76.0921936035156,915,0.13
"e00008",-22.277559,-45.372003,"Alto Parana Atlantic forest",55.1153835831311,27.1531820311936,25.3313408422614,44.1567213114754,0.14131,16.3250007629395,268.323913574219,1691,72.8713531494141,1529,0.66
"e00009",-21.369083,-46.279279,"Alto Parana Atlantic forest",84.4623583915931,13.8746085679343,15.3313728110358,48.2414795671136,0.01858,19.8250007629395,235.405853271484,1518,73.4126968383789,891,0
"e00010",-22.86027,-46.058131,"Serra do Mar coastal forests",86.246756146863,71.6587735933008,71.3998619909897,45.3291086438717,0.10315,14.2541666030884,274.113952636719,1726,67.5664520263672,1543,2.19
"e00011",-22.394468,-44.941059,"Campos Rupestres montane savanna",84.5619495638731,31.8821055092897,39.5302329914708,45.3291086438717,0.10315,17.0458335876465,263.563507080078,1549,76.5688171386719,1289,9.56
"e00012",-22.392145,-44.941495,"Campos Rupestres montane savanna",88.9543668451689,30.8667456450476,38.4702372486059,45.3291086438717,0.10315,17.0458335876465,263.563507080078,1549,76.5688171386719,1289,9.56
"e00013",-22.222131,-45.968502,"Alto Parana Atlantic forest",85.8166078575091,18.5415504541598,11.7420928429933,45.317,0.11,19.25,244.651885986328,1562,70.1072463989258,914,0.05
"e00015",-21.868076,-45.612805,"Alto Parana Atlantic forest",26.637144162108,23.6169701906732,14.9146902313334,33.5736842105263,0.38947,18.6666660308838,247.729095458984,1575,75.2989654541016,1147,4.84
"e00016",-22.363821,-45.135594,"Campos Rupestres montane savanna",70.5459725227538,34.9067286351856,29.9244827749937,45.2628779395297,0.11674,14.4875001907349,268.159759521484,1891,71.2117385864258,1493,5.44
"paula3",-20.303055,-40.338888,"Bahia coastal forests",68.1883576714127,9.01875284354867,5.50766619665878,43.5471698113208,0.15271,22.7416667938232,201.006942749023,1281,46.6009292602539,142,1.88
"r58",-22.4,-49.7,"Alto Parana Atlantic forest",99.6901290967086,49.2788264987245,23.2472563219111,47.3581548844942,0.05968,20.4833335876465,258.899200439453,1274,60.5765762329102,610,0.08
"r72",-23.531944,-45.686944,"Serra do Mar coastal forests",53.4036671656495,53.6121123396693,42.4138102713381,48.9046407104624,0.02508,16.6166667938232,259.425354003906,1798,53.5573577880859,936,0.2
"r73",-23.538888,-45.683333,"Serra do Mar coastal forests",61.9891478598578,59.0331062377928,45.1386843442574,48.9046407104624,0.02508,16.4333324432373,259.967926025391,1823,53.4412994384766,936,0.24
"r74",-23.534722,-45.674444,"Serra do Mar coastal forests",66.9343599486036,61.2520361726027,43.4456204122876,48.9046407104624,0.02508,16.3708324432373,262.31884765625,1831,53.2997856140137,932,0.2
